Selling Company,Product,Price (USD),Company location,Customer,Customer Country,Customer Workplace,Day
Nestlé,Product112,296,Romania,Stephanie English,Liechtenstein,Gunnars Grill och Plastikkirurgi,11
Apple,Product27,207,Poland,Connie Nelson,Chile,Gunnars Grill och Plastikkirurgi,11
Gunnars Grill och Plastikkirurgi,Product40,38,Hungary,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,11
Goldman Sachs,Product61,41,Hong Kong,Elizabeth Woodward,Mauritius,McKinsey,11
Tjuvjakt AB,Product83,68,South Korea,Traci Morales,Kazakhstan,Tjuvjakt AB,11
MicroSoft,Product39,204,Liechtenstein,John Willis,Hungary,Tjuvjakt AB,11
Ur och Penn,Product76,43,Oman,Jeremy Cohen,Kuwait,Tjuvjakt AB,11
Tjuvjakt AB,Product87,113,South Korea,Bryan Richards,Argentina,McKinsey,11
Ur och Penn,Product711,96,Oman,Lisa Carter,Brazil,Ur och Penn,11
McKinsey,Product55,89,Poland,April Roman,Russian Federation,McKinsey,11
Nestlé,Product113,22,Romania,Brandon Ferrell,Bulgaria,Nike,11
Gunnars Grill och Plastikkirurgi,Product49,63,Hungary,Mary Hunter,Czech Republic,MicroSoft,11
Tjuvjakt AB,Product82,224,South Korea,Ralph Berry,Australia,MicroSoft,11
Ur och Penn,Product78,78,Oman,Angela Anthony,Qatar,Nike,11
Apple,Product210,166,Poland,Elizabeth Martinez,Philippines,Tjuvjakt AB,11
MicroSoft,Product314,81,Liechtenstein,Nicole Barker,Australia,Nestlé,11
MicroSoft,Product310,264,Liechtenstein,Sheila Miller,Philippines,McKinsey,11
Tjuvjakt AB,Product82,224,South Korea,Amanda Flores,Colombia,Goldman Sachs,11
Gunnars Grill och Plastikkirurgi,Product413,27,Hungary,Mark Bond,Nepal,Gunnars Grill och Plastikkirurgi,11
MicroSoft,Product33,262,Liechtenstein,Angel Golden,Bahrain,Gunnars Grill och Plastikkirurgi,11
Apple,Product22,158,Poland,Jamie Ramirez,Poland,Apple,12
Nestlé,Product13,30,Romania,Brandon Clark,South Africa,Tjuvjakt AB,12
Ur och Penn,Product77,157,Oman,Amanda Flores,Colombia,Goldman Sachs,12
Ur och Penn,Product76,43,Oman,Nicholas Woods,Iran,McKinsey,12
Gunnars Grill och Plastikkirurgi,Product43,292,Hungary,Nicole Barker,Australia,Nestlé,12
McKinsey,Product54,188,Poland,Terry Simmons,Colombia,McKinsey,12
Goldman Sachs,Product67,285,Hong Kong,Madison West,Russian Federation,Goldman Sachs,12
Tjuvjakt AB,Product88,94,South Korea,Brittney Gonzalez,Malaysia,McKinsey,12
McKinsey,Product54,188,Poland,Wayne Gonzalez,South Korea,Gunnars Grill och Plastikkirurgi,12
Tjuvjakt AB,Product812,75,South Korea,Connie Nelson,Chile,Gunnars Grill och Plastikkirurgi,12
Goldman Sachs,Product60,161,Hong Kong,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,12
McKinsey,Product58,69,Poland,David Downs,South Africa,Gunnars Grill och Plastikkirurgi,12
McKinsey,Product58,69,Poland,Jonathan Hamilton,Hong Kong,Ur och Penn,12
Ur och Penn,Product76,43,Oman,Victoria Townsend,Argentina,McKinsey,12
Nestlé,Product13,30,Romania,Allison Scott,Brazil,Nike,12
Nike,Product02,297,Kazakhstan,Daniel Chang,Denmark,McKinsey,12
Nike,Product00,164,Kazakhstan,Daniel Chang,Denmark,McKinsey,12
Nike,Product09,200,Kazakhstan,Hannah Ruiz,Brazil,Ur och Penn,12
Nestlé,Product114,90,Romania,Ryan Morgan,Hong Kong,MicroSoft,12
Goldman Sachs,Product69,201,Hong Kong,Krista Miller,South Africa,McKinsey,12
Tjuvjakt AB,Product82,224,South Korea,Scott Cooper,Hong Kong,Gunnars Grill och Plastikkirurgi,12
Ur och Penn,Product70,172,Oman,Dr. Jessica Chapman MD,Nepal,MicroSoft,12
Ur och Penn,Product714,263,Oman,Steven Harris,Croatia,Goldman Sachs,12
MicroSoft,Product33,262,Liechtenstein,Linda Lewis,Kazakhstan,McKinsey,12
Apple,Product211,267,Poland,Debra Jackson,Romania,Apple,12
Nike,Product00,164,Kazakhstan,Nicholas Woods,Iran,McKinsey,12
Ur och Penn,Product75,285,Oman,Jason Johnston,Colombia,Goldman Sachs,12
Goldman Sachs,Product64,203,Hong Kong,Traci Morales,Kazakhstan,Tjuvjakt AB,12
Apple,Product22,158,Poland,Brandon Ferrell,Bulgaria,Nike,12
Ur och Penn,Product714,263,Oman,Mathew Gilbert,Brazil,Tjuvjakt AB,12
Ur och Penn,Product713,204,Oman,Nancy French,Japan,MicroSoft,13
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Jonathan Lin,Oman,Ur och Penn,13
Nike,Product05,159,Kazakhstan,Cynthia Lane,India,Nestlé,13
Nestlé,Product16,73,Romania,Jeremy Cohen,Kuwait,Tjuvjakt AB,13
Nike,Product00,164,Kazakhstan,Betty Hunter,Liechtenstein,Apple,13
MicroSoft,Product33,262,Liechtenstein,Austin Davis,Botswana,Gunnars Grill och Plastikkirurgi,13
Nike,Product02,297,Kazakhstan,Scott Cooper,Hong Kong,Gunnars Grill och Plastikkirurgi,13
Nike,Product011,135,Kazakhstan,Jose Anderson,Cook Islands,MicroSoft,13
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Robert Steele,Kuwait,Nike,13
MicroSoft,Product30,233,Liechtenstein,Lee George,Nepal,McKinsey,13
Nike,Product05,159,Kazakhstan,Jose Anderson,Cook Islands,MicroSoft,13
Apple,Product217,123,Poland,Kimberly Rice,Pakistan,Gunnars Grill och Plastikkirurgi,13
MicroSoft,Product37,224,Liechtenstein,Sheila Miller,Philippines,McKinsey,13
Nestlé,Product115,298,Romania,Richard Lee,Bulgaria,Nike,13
MicroSoft,Product35,90,Liechtenstein,Jennifer Hamilton,Iran,MicroSoft,13
McKinsey,Product54,188,Poland,Brian Washington,Romania,Tjuvjakt AB,13
McKinsey,Product51,194,Poland,Jennifer Baldwin,Nepal,Ur och Penn,13
Tjuvjakt AB,Product812,75,South Korea,Chad Gallagher,Kazakhstan,Nike,13
MicroSoft,Product314,81,Liechtenstein,Christopher Johnson,South Korea,MicroSoft,13
Tjuvjakt AB,Product811,225,South Korea,Stephen Contreras,Botswana,McKinsey,13
Gunnars Grill och Plastikkirurgi,Product413,27,Hungary,Stephen Contreras,Botswana,McKinsey,13
Apple,Product21,66,Poland,Betty Hunter,Liechtenstein,Apple,13
Nike,Product06,258,Kazakhstan,Elizabeth Woodward,Mauritius,McKinsey,13
Apple,Product20,298,Poland,Joseph Henson,Bouvet Island,Ur och Penn,13
Apple,Product27,207,Poland,Diane Bush,Malaysia,Ur och Penn,13
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Chad Glenn,Libya,Nestlé,13
Tjuvjakt AB,Product88,94,South Korea,Joe Booker,Romania,Tjuvjakt AB,13
McKinsey,Product52,297,Poland,Sharon Fitzgerald,Oman,Gunnars Grill och Plastikkirurgi,13
Apple,Product28,196,Poland,Chad Glenn,Libya,Nestlé,13
MicroSoft,Product32,294,Liechtenstein,Krista Miller,South Africa,McKinsey,13
Ur och Penn,Product74,249,Oman,Christopher Johnson,South Korea,MicroSoft,14
Nike,Product03,68,Kazakhstan,Lisa Austin,Libya,Nike,14
McKinsey,Product56,227,Poland,Elizabeth Woodward,Mauritius,McKinsey,14
Tjuvjakt AB,Product89,204,South Korea,Victor Wright,Singapore,Goldman Sachs,14
Gunnars Grill och Plastikkirurgi,Product410,172,Hungary,Scott Cooper,Hong Kong,Gunnars Grill och Plastikkirurgi,14
Nike,Product07,166,Kazakhstan,Jennifer Dorsey DDS,Canada,McKinsey,14
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Dr. Jessica Chapman MD,Nepal,MicroSoft,14
Nike,Product015,286,Kazakhstan,James Mcdonald,Botswana,Nestlé,14
Tjuvjakt AB,Product80,202,South Korea,Diane Bush,Malaysia,Ur och Penn,14
Gunnars Grill och Plastikkirurgi,Product46,113,Hungary,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,14
Ur och Penn,Product714,263,Oman,Travis Madden,Croatia,Gunnars Grill och Plastikkirurgi,14
Goldman Sachs,Product68,169,Hong Kong,Allison Scott,Brazil,Nike,14
MicroSoft,Product37,224,Liechtenstein,Nicole Stone,Nepal,Gunnars Grill och Plastikkirurgi,14
McKinsey,Product510,206,Poland,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,14
Tjuvjakt AB,Product89,204,South Korea,Betty Hunter,Liechtenstein,Apple,14
Goldman Sachs,Product68,169,Hong Kong,Christopher Ferrell,Cook Islands,Apple,14
Apple,Product22,158,Poland,Angela Anthony,Qatar,Nike,14
Apple,Product23,161,Poland,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,14
MicroSoft,Product37,224,Liechtenstein,Deborah Fisher,Brazil,Gunnars Grill och Plastikkirurgi,14
Nestlé,Product14,106,Romania,Cynthia Lane,India,Nestlé,14
Apple,Product214,186,Poland,Jason Johnston,Colombia,Goldman Sachs,14
Apple,Product216,23,Poland,Steven Sutton,Bouvet Island,McKinsey,14
Apple,Product21,66,Poland,Chad Glenn,Libya,Nestlé,14
Goldman Sachs,Product610,170,Hong Kong,Joe Booker,Romania,Tjuvjakt AB,14
McKinsey,Product512,45,Poland,Lisa Richmond,Romania,Gunnars Grill och Plastikkirurgi,14
MicroSoft,Product317,150,Liechtenstein,Adam Bowers,Bahrain,McKinsey,14
Tjuvjakt AB,Product812,75,South Korea,Victoria Townsend,Argentina,McKinsey,14
Nestlé,Product11,60,Romania,Stephen Contreras,Botswana,McKinsey,14
Goldman Sachs,Product65,107,Hong Kong,Jennifer Flowers,Philippines,McKinsey,14
Ur och Penn,Product79,268,Oman,Jonathan Hamilton,Hong Kong,Ur och Penn,14
Nestlé,Product16,73,Romania,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,15
MicroSoft,Product34,62,Liechtenstein,Elizabeth Woodward,Mauritius,McKinsey,15
Apple,Product27,207,Poland,Richard Bailey,Hong Kong,Ur och Penn,15
Goldman Sachs,Product66,180,Hong Kong,Christopher Ferrell,Cook Islands,Apple,15
Nike,Product06,258,Kazakhstan,Michael Taylor,Botswana,Nestlé,15
Apple,Product216,23,Poland,Nicole Miller,Andorra,Nestlé,15
Goldman Sachs,Product62,185,Hong Kong,Jose Anderson,Cook Islands,MicroSoft,15
McKinsey,Product52,297,Poland,Anthony Cook,Pakistan,Goldman Sachs,15
Nike,Product010,275,Kazakhstan,Debra Jackson,Romania,Apple,15
Gunnars Grill och Plastikkirurgi,Product48,295,Hungary,Michael Gonzalez,South Africa,Ur och Penn,15
MicroSoft,Product311,292,Liechtenstein,Eric Martinez,Poland,Gunnars Grill och Plastikkirurgi,15
Gunnars Grill och Plastikkirurgi,Product43,292,Hungary,Brandon Ferrell,Bulgaria,Nike,15
Gunnars Grill och Plastikkirurgi,Product413,27,Hungary,Nancy French,Japan,MicroSoft,15
Nestlé,Product14,106,Romania,Patricia Humphrey,Qatar,Ur och Penn,15
Ur och Penn,Product78,78,Oman,Alexandra Chapman,Poland,MicroSoft,15
Ur och Penn,Product715,265,Oman,Mary Hunter,Czech Republic,MicroSoft,15
MicroSoft,Product36,289,Liechtenstein,Jonathan Lin,Oman,Ur och Penn,15
Apple,Product24,277,Poland,Yvonne Carter,Andorra,Nestlé,15
Nike,Product09,200,Kazakhstan,Jeremy Cohen,Kuwait,Tjuvjakt AB,15
Gunnars Grill och Plastikkirurgi,Product410,172,Hungary,Christopher Johnson,South Korea,MicroSoft,15
Goldman Sachs,Product65,107,Hong Kong,Jonathan Hamilton,Hong Kong,Ur och Penn,15
Tjuvjakt AB,Product811,225,South Korea,Michael Nguyen,Sri Lanka,Goldman Sachs,15
Ur och Penn,Product713,204,Oman,Jeremy Cohen,Kuwait,Tjuvjakt AB,15
Nestlé,Product110,211,Romania,Carolyn Johnson,Libya,Ur och Penn,15
MicroSoft,Product35,90,Liechtenstein,Terry Simmons,Colombia,McKinsey,15
McKinsey,Product57,259,Poland,Allison Scott,Brazil,Nike,15
Nestlé,Product19,40,Romania,Austin Davis,Botswana,Gunnars Grill och Plastikkirurgi,15
Nike,Product014,56,Kazakhstan,Michael Gonzalez,South Africa,Ur och Penn,15
Nike,Product00,164,Kazakhstan,Brenda Rosario,Argentina,Nestlé,15
Ur och Penn,Product712,287,Oman,Emily Anderson,Cook Islands,Nestlé,15
Nestlé,Product14,106,Romania,Chad Maddox,Sweden,Ur och Penn,16
Nestlé,Product12,212,Romania,Victoria Townsend,Argentina,McKinsey,16
MicroSoft,Product315,299,Liechtenstein,Rachel Watson,Sri Lanka,Apple,16
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Joel Vargas,Libya,Goldman Sachs,16
Ur och Penn,Product711,96,Oman,Diana Baker,Cook Islands,Ur och Penn,16
Tjuvjakt AB,Product812,75,South Korea,Lisa Richmond,Romania,Gunnars Grill och Plastikkirurgi,16
MicroSoft,Product313,142,Liechtenstein,Michael Gonzalez,South Africa,Ur och Penn,16
Gunnars Grill och Plastikkirurgi,Product43,292,Hungary,Richard Bailey,Hong Kong,Ur och Penn,16
Tjuvjakt AB,Product83,68,South Korea,Jennifer Dorsey DDS,Canada,McKinsey,16
Gunnars Grill och Plastikkirurgi,Product416,162,Hungary,David Howard,Poland,McKinsey,16
Gunnars Grill och Plastikkirurgi,Product414,81,Hungary,Deborah Fisher,Brazil,Gunnars Grill och Plastikkirurgi,16
Apple,Product27,207,Poland,Cynthia Lane,India,Nestlé,16
Nestlé,Product113,22,Romania,Jonathan Lin,Oman,Ur och Penn,16
McKinsey,Product512,45,Poland,Carolyn Johnson,Libya,Ur och Penn,16
Goldman Sachs,Product60,161,Hong Kong,Rachel Watson,Sri Lanka,Apple,16
Nestlé,Product115,298,Romania,Kimberly Rice,Pakistan,Gunnars Grill och Plastikkirurgi,16
Ur och Penn,Product77,157,Oman,Tammy Drake,Nepal,Ur och Penn,16
Gunnars Grill och Plastikkirurgi,Product411,210,Hungary,Mitchell Stein,Croatia,Gunnars Grill och Plastikkirurgi,16
Ur och Penn,Product72,167,Oman,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,16
McKinsey,Product59,298,Poland,Robert Richardson,Turkey,MicroSoft,16
McKinsey,Product50,65,Poland,Michael Marquez,Singapore,Tjuvjakt AB,16
Tjuvjakt AB,Product87,113,South Korea,Brittney Gonzalez,Malaysia,McKinsey,16
Goldman Sachs,Product66,180,Hong Kong,Christopher Ferrell,Cook Islands,Apple,16
Nike,Product06,258,Kazakhstan,Allison Scott,Brazil,Nike,16
MicroSoft,Product39,204,Liechtenstein,Jose Porter,Turkey,MicroSoft,16
Apple,Product218,50,Poland,Richard Lee,Bulgaria,Nike,16
Apple,Product212,129,Poland,Chad Glenn,Libya,Nestlé,16
Ur och Penn,Product714,263,Oman,Jose Porter,Turkey,MicroSoft,16
Gunnars Grill och Plastikkirurgi,Product415,107,Hungary,Nicole Miller,Andorra,Nestlé,16
MicroSoft,Product313,142,Liechtenstein,Nicholas Woods,Iran,McKinsey,16
Gunnars Grill och Plastikkirurgi,Product42,127,Hungary,Jennifer Hamilton,Iran,MicroSoft,17
McKinsey,Product54,188,Poland,Jonathan Hamilton,Hong Kong,Ur och Penn,17
Goldman Sachs,Product61,41,Hong Kong,Brandon Clark,South Africa,Tjuvjakt AB,17
Nike,Product013,221,Kazakhstan,Kimberly Rice,Pakistan,Gunnars Grill och Plastikkirurgi,17
Tjuvjakt AB,Product88,94,South Korea,Chad Glenn,Libya,Nestlé,17
McKinsey,Product59,298,Poland,Nicole Barker,Australia,Nestlé,17
McKinsey,Product52,297,Poland,Debbie Alexander,Botswana,McKinsey,17
Apple,Product214,186,Poland,Eric Martinez,Poland,Gunnars Grill och Plastikkirurgi,17
McKinsey,Product511,191,Poland,Nancy French,Japan,MicroSoft,17
Nike,Product00,164,Kazakhstan,Patricia Humphrey,Qatar,Ur och Penn,17
Apple,Product24,277,Poland,Teresa Guzman,Malaysia,McKinsey,17
Gunnars Grill och Plastikkirurgi,Product46,113,Hungary,Nicole Barker,Australia,Nestlé,17
Tjuvjakt AB,Product89,204,South Korea,Richard Lee,Bulgaria,Nike,17
Nestlé,Product14,106,Romania,Nicholas Woods,Iran,McKinsey,17
Goldman Sachs,Product61,41,Hong Kong,Raymond Farrell,Mauritius,Gunnars Grill och Plastikkirurgi,17
MicroSoft,Product316,96,Liechtenstein,Stephen Contreras,Botswana,McKinsey,17
Tjuvjakt AB,Product80,202,South Korea,Robert Boyle,Pakistan,Apple,17
Ur och Penn,Product79,268,Oman,Mathew Gilbert,Brazil,Tjuvjakt AB,17
Goldman Sachs,Product66,180,Hong Kong,Alexandra Chapman,Poland,MicroSoft,17
MicroSoft,Product35,90,Liechtenstein,Victor Wright,Singapore,Goldman Sachs,17
Ur och Penn,Product77,157,Oman,Wayne Gonzalez,South Korea,Gunnars Grill och Plastikkirurgi,17
Nestlé,Product10,281,Romania,David Howard,Poland,McKinsey,17
Goldman Sachs,Product68,169,Hong Kong,Jose Anderson,Cook Islands,MicroSoft,17
Ur och Penn,Product711,96,Oman,Bruce Mitchell,India,MicroSoft,17
Nestlé,Product110,211,Romania,Patricia Humphrey,Qatar,Ur och Penn,17
Apple,Product217,123,Poland,Alexandra Chapman,Poland,MicroSoft,17
McKinsey,Product56,227,Poland,Tara Christensen,Pakistan,Apple,17
MicroSoft,Product39,204,Liechtenstein,Michael Nguyen,Sri Lanka,Goldman Sachs,17
Goldman Sachs,Product61,41,Hong Kong,Madison West,Russian Federation,Goldman Sachs,17
Ur och Penn,Product712,287,Oman,David Downs,South Africa,Gunnars Grill och Plastikkirurgi,17
Apple,Product210,166,Poland,Angel Golden,Bahrain,Gunnars Grill och Plastikkirurgi,18
Ur och Penn,Product74,249,Oman,Victor Wright,Singapore,Goldman Sachs,18
Nestlé,Product14,106,Romania,Chad Glenn,Libya,Nestlé,18
MicroSoft,Product32,294,Liechtenstein,David Howard,Poland,McKinsey,18
MicroSoft,Product310,264,Liechtenstein,Robert Steele,Kuwait,Nike,18
MicroSoft,Product317,150,Liechtenstein,Bryan Richards,Argentina,McKinsey,18
Nike,Product07,166,Kazakhstan,Justin Combs,Thailand,Goldman Sachs,18
Ur och Penn,Product77,157,Oman,Katherine Mitchell,Singapore,MicroSoft,18
Apple,Product214,186,Poland,Robert Boyle,Pakistan,Apple,18
McKinsey,Product51,194,Poland,Jennifer Hamilton,Iran,MicroSoft,18
Goldman Sachs,Product64,203,Hong Kong,Debbie Alexander,Botswana,McKinsey,18
McKinsey,Product59,298,Poland,Todd Johnson,Qatar,Tjuvjakt AB,18
Ur och Penn,Product713,204,Oman,Laura Gardner,Colombia,Goldman Sachs,18
Nike,Product08,202,Kazakhstan,Janice Moss,India,Nestlé,18
MicroSoft,Product316,96,Liechtenstein,Alexandria Kidd,Denmark,Ur och Penn,18
Nestlé,Product17,92,Romania,Teresa Guzman,Malaysia,McKinsey,18
McKinsey,Product51,194,Poland,Elizabeth Martinez,Philippines,Tjuvjakt AB,18
Nike,Product012,152,Kazakhstan,James Mcdonald,Botswana,Nestlé,18
Ur och Penn,Product78,78,Oman,Scott Lopez,Chile,Ur och Penn,18
MicroSoft,Product315,299,Liechtenstein,Todd Johnson,Qatar,Tjuvjakt AB,18
Goldman Sachs,Product61,41,Hong Kong,Derrick Martinez,Turkey,Tjuvjakt AB,18
Nike,Product013,221,Kazakhstan,Madison West,Russian Federation,Goldman Sachs,18
Gunnars Grill och Plastikkirurgi,Product414,81,Hungary,Dominique Henderson,Indonesia,Nike,18
Nestlé,Product114,90,Romania,Amanda Flores,Colombia,Goldman Sachs,18
Nestlé,Product17,92,Romania,Richard Bailey,Hong Kong,Ur och Penn,18
Nike,Product012,152,Kazakhstan,Debbie Alexander,Botswana,McKinsey,18
Nestlé,Product10,281,Romania,Jason Johnston,Colombia,Goldman Sachs,18
Nestlé,Product10,281,Romania,Lee George,Nepal,McKinsey,18
Goldman Sachs,Product67,285,Hong Kong,Stephanie Norman,Canada,Gunnars Grill och Plastikkirurgi,18
Gunnars Grill och Plastikkirurgi,Product416,162,Hungary,Michael Marquez,Singapore,Tjuvjakt AB,18
MicroSoft,Product316,96,Liechtenstein,Bryan Hays,Brazil,Nike,19
Nike,Product010,275,Kazakhstan,Emily Anderson,Cook Islands,Nestlé,19
Nike,Product09,200,Kazakhstan,Michelle Hayes,Japan,Apple,19
Ur och Penn,Product710,26,Oman,Kevin Green,South Korea,Ur och Penn,19
McKinsey,Product511,191,Poland,Jennifer Flowers,Philippines,McKinsey,19
Goldman Sachs,Product65,107,Hong Kong,Hannah Ruiz,Brazil,Ur och Penn,19
Apple,Product28,196,Poland,Christopher Grant,Romania,Goldman Sachs,19
Nike,Product06,258,Kazakhstan,Rachel Watson,Sri Lanka,Apple,19
Nestlé,Product17,92,Romania,James Aguirre,India,MicroSoft,19
Nestlé,Product11,60,Romania,Elizabeth Woodward,Mauritius,McKinsey,19
Tjuvjakt AB,Product812,75,South Korea,Nicole Miller,Andorra,Nestlé,19
Gunnars Grill och Plastikkirurgi,Product45,240,Hungary,Tammy Drake,Nepal,Ur och Penn,19
Ur och Penn,Product710,26,Oman,Robert Steele,Kuwait,Nike,19
MicroSoft,Product32,294,Liechtenstein,Michelle Hayes,Japan,Apple,19
Apple,Product22,158,Poland,Tara Christensen,Pakistan,Apple,19
Goldman Sachs,Product60,161,Hong Kong,Terry Simmons,Colombia,McKinsey,19
Apple,Product21,66,Poland,Jennifer Dorsey DDS,Canada,McKinsey,19
McKinsey,Product51,194,Poland,Sharon Fitzgerald,Oman,Gunnars Grill och Plastikkirurgi,19
Ur och Penn,Product713,204,Oman,Steven Harris,Croatia,Goldman Sachs,19
McKinsey,Product54,188,Poland,Steven Harris,Croatia,Goldman Sachs,19
Tjuvjakt AB,Product813,34,South Korea,Emily Anderson,Cook Islands,Nestlé,19
Nestlé,Product110,211,Romania,Deborah Fisher,Brazil,Gunnars Grill och Plastikkirurgi,19
Apple,Product213,129,Poland,Mitchell Stein,Croatia,Gunnars Grill och Plastikkirurgi,19
Ur och Penn,Product71,87,Oman,Michael Shepherd,Oman,McKinsey,19
Nestlé,Product18,119,Romania,Susan Maxwell,Qatar,Gunnars Grill och Plastikkirurgi,19
Apple,Product21,66,Poland,Richard Lee,Bulgaria,Nike,19
Nestlé,Product16,73,Romania,Robert Steele,Kuwait,Nike,19
Tjuvjakt AB,Product89,204,South Korea,Michael Gonzalez,South Africa,Ur och Penn,19
Tjuvjakt AB,Product87,113,South Korea,Deborah Fisher,Brazil,Gunnars Grill och Plastikkirurgi,19
Gunnars Grill och Plastikkirurgi,Product46,113,Hungary,Todd Johnson,Qatar,Tjuvjakt AB,19
Goldman Sachs,Product69,201,Hong Kong,Michelle Hayes,Japan,Apple,20
MicroSoft,Product39,204,Liechtenstein,Traci Morales,Kazakhstan,Tjuvjakt AB,20
Tjuvjakt AB,Product88,94,South Korea,James Ross,Iran,Ur och Penn,20
Nestlé,Product14,106,Romania,Jennifer Baldwin,Nepal,Ur och Penn,20
Nestlé,Product18,119,Romania,Anthony Cook,Pakistan,Goldman Sachs,20
Apple,Product218,50,Poland,Chad Gallagher,Kazakhstan,Nike,20
Apple,Product21,66,Poland,Sheila Miller,Philippines,McKinsey,20
MicroSoft,Product310,264,Liechtenstein,Zachary Luna Jr.,Denmark,Ur och Penn,20
McKinsey,Product56,227,Poland,Richard Bailey,Hong Kong,Ur och Penn,20
Goldman Sachs,Product60,161,Hong Kong,Lisa Carter,Brazil,Ur och Penn,20
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Lee George,Nepal,McKinsey,20
Goldman Sachs,Product69,201,Hong Kong,Jennifer Hamilton,Iran,MicroSoft,20
Nestlé,Product14,106,Romania,Robert Boyle,Pakistan,Apple,20
Gunnars Grill och Plastikkirurgi,Product416,162,Hungary,Michael Gonzalez,South Africa,Ur och Penn,20
MicroSoft,Product33,262,Liechtenstein,Elizabeth Fox,Turkey,MicroSoft,20
Tjuvjakt AB,Product813,34,South Korea,Brian Washington,Romania,Tjuvjakt AB,20
Nestlé,Product115,298,Romania,Madison West,Russian Federation,Goldman Sachs,20
Gunnars Grill och Plastikkirurgi,Product41,189,Hungary,Joel Vargas,Libya,Goldman Sachs,20
Nestlé,Product115,298,Romania,Bryan Richards,Argentina,McKinsey,20
MicroSoft,Product30,233,Liechtenstein,Anthony Cook,Pakistan,Goldman Sachs,20
Apple,Product210,166,Poland,Justin Combs,Thailand,Goldman Sachs,20
Apple,Product27,207,Poland,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,20
MicroSoft,Product313,142,Liechtenstein,Jonathan Hamilton,Hong Kong,Ur och Penn,20
Ur och Penn,Product711,96,Oman,Kristi Austin PhD,Philippines,Tjuvjakt AB,20
Goldman Sachs,Product69,201,Hong Kong,Jennifer Flowers,Philippines,McKinsey,20
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Cynthia Lane,India,Nestlé,20
Nike,Product05,159,Kazakhstan,Sheila Miller,Philippines,McKinsey,20
Goldman Sachs,Product610,170,Hong Kong,Rachel Hall,Qatar,Goldman Sachs,20
MicroSoft,Product315,299,Liechtenstein,Christopher Lopez,Croatia,Nestlé,20
Ur och Penn,Product710,26,Oman,Bryan Hays,Brazil,Nike,20
Apple,Product24,277,Poland,James Mcdonald,Botswana,Nestlé,21
Gunnars Grill och Plastikkirurgi,Product411,210,Hungary,Diane Bush,Malaysia,Ur och Penn,21
Nestlé,Product114,90,Romania,Jennifer Baldwin,Nepal,Ur och Penn,21
Ur och Penn,Product73,95,Oman,David Burgess,Andorra,Nike,21
MicroSoft,Product37,224,Liechtenstein,Mark Bond,Nepal,Gunnars Grill och Plastikkirurgi,21
Apple,Product213,129,Poland,Wayne Gonzalez,South Korea,Gunnars Grill och Plastikkirurgi,21
Goldman Sachs,Product67,285,Hong Kong,Terry Simmons,Colombia,McKinsey,21
Ur och Penn,Product79,268,Oman,Bruce Mitchell,India,MicroSoft,21
McKinsey,Product53,62,Poland,Yolanda Simmons,Pakistan,Nike,21
McKinsey,Product51,194,Poland,Chad Gallagher,Kazakhstan,Nike,21
Nestlé,Product12,212,Romania,Travis Madden,Croatia,Gunnars Grill och Plastikkirurgi,21
Apple,Product216,23,Poland,Lisa Austin,Libya,Nike,21
Apple,Product28,196,Poland,Ralph Berry,Australia,MicroSoft,21
Goldman Sachs,Product69,201,Hong Kong,John Willis,Hungary,Tjuvjakt AB,21
Gunnars Grill och Plastikkirurgi,Product49,63,Hungary,Eric Martinez,Poland,Gunnars Grill och Plastikkirurgi,21
Nike,Product014,56,Kazakhstan,James Mcdonald,Botswana,Nestlé,21
Nestlé,Product14,106,Romania,Lee George,Nepal,McKinsey,21
Apple,Product20,298,Poland,Justin Combs,Thailand,Goldman Sachs,21
MicroSoft,Product35,90,Liechtenstein,Mr. David Patrick,Hungary,Apple,21
Nike,Product012,152,Kazakhstan,Brandon Ferrell,Bulgaria,Nike,21
Goldman Sachs,Product64,203,Hong Kong,Alexandria Kidd,Denmark,Ur och Penn,21
Ur och Penn,Product76,43,Oman,Jonathan Lin,Oman,Ur och Penn,21
Gunnars Grill och Plastikkirurgi,Product416,162,Hungary,Brittney Gonzalez,Malaysia,McKinsey,21
Nike,Product011,135,Kazakhstan,Chad Gallagher,Kazakhstan,Nike,21
Ur och Penn,Product71,87,Oman,Teresa Guzman,Malaysia,McKinsey,21
McKinsey,Product52,297,Poland,Michael Taylor,Botswana,Nestlé,21
Goldman Sachs,Product65,107,Hong Kong,Debbie Alexander,Botswana,McKinsey,21
